model,timestamp,rmse,mae,r2,path
xgb,20251110-225146,119600.19785593337,65812.40546368869,0.8995253834094918,reports/metrics/xgb-20251110-225146.json
linreg,20251110-221632,205399.68348932234,127999.83389267445,0.7036587547733546,reports/metrics/linreg-20251110-221632.json
